id,host_id,host_is_superhost,neighbourhood_cleansed,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cancellation_policy,review_scores_rating,price
19755670,139381677,1,1,9,1,0.5,1,1,1,2,100,141
19834951,88734735,1,1,9,4,1,1,2,1,2,100,396
19841101,129239004,0,12,9,4,1,2,2,1,1,100,752
19971057,140693077,0,7,9,4,2,0,2,1,1,100,295
20273114,142718806,0,1,9,7,2,2,3,1,1,100,396
20644398,106578263,0,1,9,1,1,1,1,1,3,100,168
20715148,48664886,1,8,9,3,1,1,2,1,1,100,107
20734214,132138887,0,8,9,2,1,1,1,1,3,100,121
20740070,87388651,0,8,9,4,1,2,2,1,3,100,490
20756546,55400577,0,2,9,4,1,1,1,1,2,100,302
20998859,81238003,0,1,9,2,1,1,1,1,2,100,450
21107452,148621977,1,10,9,4,1,2,2,1,2,100,678
21584745,156491126,0,5,9,6,1,3,4,1,2,100,825
21598992,149551683,1,5,9,5,1,2,3,1,3,100,127
21702037,148621977,1,10,9,4,1,2,2,1,3,100,577
21702204,148621977,1,10,9,4,1,2,2,1,3,100,678
21702679,148621977,1,10,9,4,1,2,2,1,3,100,678
21867857,149935848,0,8,9,4,2,2,2,1,3,100,255
21868153,149935848,0,8,9,4,2,2,2,1,3,100,248
22091523,148931878,1,12,9,4,1.5,1,2,1,3,100,503
22369975,156615171,1,1,9,4,2,1,1,1,2,100,322
22617013,147588904,0,8,9,2,2,1,1,1,3,100,389
22618384,110911247,0,12,9,2,1.5,1,1,1,3,100,268
22645988,152787483,0,16,9,4,1,2,3,1,1,100,470
22707984,93413316,0,1,9,3,1,1,1,1,3,100,644
22781131,87388651,0,8,9,6,2,3,3,1,3,100,557
22818398,168658382,0,8,9,2,2,1,2,1,3,100,396
22892356,168658382,0,8,9,2,2,1,1,1,3,100,416
22915596,169638403,0,8,9,2,2,1,1,1,3,100,302
22945434,169638403,0,8,9,6,2,1,3,1,3,100,450
22972565,29719851,1,1,9,3,1,1,2,1,3,100,336
22977569,160520800,0,7,9,4,1,1,1,1,3,100,349
23007577,170680566,0,7,9,2,1,1,2,1,3,100,201
23024817,159517639,1,1,9,9,4,6,5,1,1,100,2201
23034816,83736205,1,1,9,2,1,1,2,1,2,100,101
23064098,124676706,0,12,9,6,2,3,3,1,1,100,497
23094014,169044556,0,11,9,2,1,1,2,1,1,100,289
23471509,168658382,0,8,9,2,2,1,1,1,3,100,396
23473337,119881448,0,1,9,2,1,1,1,1,1,100,349
23509597,168658382,0,8,9,2,1,1,1,1,3,100,396
23548390,168658382,0,8,9,3,2,2,2,1,3,100,396
23553988,171037659,0,1,9,6,1,2,4,1,3,100,336
23554694,123152158,1,4,9,2,2,1,1,1,1,100,268
23601365,176500804,0,1,9,3,2,2,2,1,2,100,369
23635259,176871205,1,2,9,2,1,1,1,1,3,100,597
23688935,168658382,0,8,9,3,2,2,2,1,3,100,396
23844156,168658382,0,8,9,2,2,1,2,1,3,100,396
23914071,19772308,0,1,9,2,1,1,1,1,2,100,423
23925667,171732128,0,1,9,2,1,1,1,1,3,100,537
24023918,180819397,0,8,9,3,1,2,2,1,2,100,262
24024580,180825164,0,12,9,2,1,1,1,1,3,100,268
24024663,180826046,0,12,9,3,1,2,2,1,3,100,678
24050585,32457626,0,1,9,2,1,0,1,1,3,100,369
24087953,94142508,0,1,9,5,1,2,3,1,3,100,416
24088495,180826046,0,12,9,4,2,2,2,1,3,100,839
24097550,181297115,0,14,9,2,2,0,1,1,3,100,289
24141491,181902649,0,1,9,2,1,1,1,1,3,100,497
24189737,182343287,0,2,9,7,2,2,4,1,1,100,1201
24435170,166180432,0,8,9,1,2,1,1,1,3,100,349
24435381,184524201,1,9,9,4,1,2,2,1,1,100,336
24480628,38517398,1,1,9,1,1.5,1,1,1,2,100,181
24511359,184524201,1,9,9,5,1,2,3,1,1,100,336
24591354,90725431,0,1,9,4,2,2,2,1,3,100,483
24648308,148353191,0,2,9,7,1,3,4,1,2,100,953
24661291,186382759,0,16,9,4,1,2,2,1,3,100,490
24684226,37540523,0,11,9,2,1,1,1,1,2,100,295
24701758,180826046,0,12,9,4,2,2,2,1,3,100,825
24709787,186619414,0,2,9,3,1,1,1,1,1,100,530
24759447,147588904,0,8,9,3,1,1,2,1,3,100,436
24772966,15975878,0,12,9,6,2,3,3,1,3,100,1000
24814780,156143513,0,8,9,2,1,1,1,1,3,100,396
24834805,156143513,0,8,9,4,1,1,1,1,3,100,369
24846187,70648209,1,1,9,2,2,1,2,1,2,100,208
24897582,7539411,0,16,9,4,2,2,2,1,3,100,322
24901138,38517398,1,1,9,2,1,1,1,1,2,100,396
24907943,147588904,0,8,9,2,2,1,2,1,3,100,497
24957761,188679445,0,9,9,4,1,2,2,1,1,100,1080
24970832,156143513,0,8,9,2,2,1,1,1,3,100,389
24971179,156143513,0,8,9,5,2,3,3,1,3,100,429
25005784,123152158,1,4,9,1,1,1,1,1,1,100,235
25072369,182398339,0,7,9,4,1,2,2,1,1,100,396
25110973,185618695,1,1,9,3,1,0,2,1,3,100,517
25204040,144287720,0,2,9,2,0.5,1,1,1,2,100,396
25212361,185618695,1,1,9,3,1,1,1,1,3,100,456
25306787,116915690,0,1,9,3,1,2,2,1,2,100,396
25309527,180839413,0,7,9,9,2,3,4,1,3,100,960
25326287,191135907,0,1,9,2,1,1,1,1,3,100,624
25340730,110094570,0,9,9,4,1,2,3,1,1,100,557
25376525,191595004,0,1,9,1,1,1,1,1,3,100,161
25417119,41678422,0,7,9,4,1,2,2,1,1,100,429
25499127,185269146,0,1,9,4,1,1,4,1,3,100,101
25504663,111865490,0,1,9,3,2,2,2,1,2,100,517
25551464,156143513,0,8,9,2,2,1,1,1,3,100,356
25568955,142718806,0,1,9,7,2,2,3,1,2,100,396
25687532,150210613,0,16,9,2,1,1,1,1,1,100,329
25815455,193996714,0,7,9,2,1,2,2,1,2,100,369
25818323,69027799,1,7,9,6,2,2,4,1,2,100,302
25872913,193996714,0,7,9,6,1,3,3,1,2,100,470
25887417,194515836,0,1,9,7,2,4,4,1,2,100,591
26013853,86950707,0,3,9,6,1,3,3,1,1,100,691
26033181,195643328,0,7,9,1,1.5,1,1,1,3,100,201
26068450,195921008,0,1,9,1,1,2,1,1,3,100,268
26075954,180839413,0,7,9,10,3,4,5,1,3,100,1087
26122244,111865490,0,1,9,2,1,1,1,1,3,100,463
26282372,180826046,0,12,9,3,1,2,2,1,3,100,678
26295185,197700533,0,7,9,3,1,1,1,1,1,100,67
26409957,162320059,0,8,9,2,2,1,1,1,3,100,289
26458221,64362530,0,1,9,2,2,1,1,1,2,100,349
26461093,153629210,1,1,9,4,1,1,4,1,3,100,148
26484382,199175388,0,12,9,6,2,1,3,1,1,100,577
26575313,170920835,1,2,9,8,1,2,4,1,3,100,1000
26600411,174745864,0,1,9,2,1,1,2,1,3,100,181
26607135,193351550,1,11,9,2,1,1,1,1,3,100,208
26692762,195913111,0,2,9,1,1,1,1,1,2,100,148
26696642,195913111,0,2,9,1,1,1,1,1,2,100,148
26697454,195913111,0,2,9,1,1,1,1,1,2,100,148
26715827,200720784,1,6,9,2,1,1,1,1,3,100,114
26758447,195913111,0,2,9,1,1,1,1,1,2,100,148
26838612,201832409,1,1,9,3,2,2,3,1,3,100,403
26982307,24714866,1,11,9,2,1,1,1,1,3,100,302
